indice,EVENT,LOCATION,ORGANIZATION,PERSON
1,0.03102897231777509,0.018313355123003323,0.023097809636965394,0.02475054334435198
2,0.012463998864404857,0.011476256884634495,0.0161288745701313,0.011704466641984053
3,0.012985861239333948,0.013728485753138862,0.021580125158652663,0.015080590376301724
4,0.01016234430587954,0.011655982795425436,0.010908047668635845,0.01709657026610027
5,0.021924681030213833,0.016169607639312744,0.0154972979798913,0.03305194495866696
6,0.02356771903578192,,0.018234949791803956,0.038368563749827445
7,0.02094007151511808,0.02678103558719158,0.029094333993270993,0.014785698289051652
8,0.032118176420529686,0.017208957113325596,0.010628446936607359,0.02243434446042075
9,0.02300427295267582,0.07006283104419707,0.021397661417722702,0.051336725475266576
10,0.014875174396567874,0.011186034418642521,0.00984007865190506,0.017114073247648777
11,0.023122645914554596,0.022454770799312327,0.010624950441221396,0.017602597278627483
12,0.009355430180827776,0.01333608478307724,0.018499119931624994,0.01631655075930451
13,0.009413993119129114,,0.012103643734008074,0.016366204564374955
14,0.023282651582525835,,0.024272279255092143,0.046077927160594195
15,,0.0231996257789433,0.02868659235537052,0.035965326242148876
16,0.009806874673813581,0.0047156233340501785,0.00942593312356621,0.012207834139609566
17,0.009487313916906714,,0.0075124545022845265,0.00645455272049354
18,0.015467609899739424,0.01829603174701333,0.015735585242509842,0.024076469242572784
19,0.009103944478556513,0.006917396187782287,0.010260788917851945,0.011252824935529914
20,0.0061334346313602645,0.006990165304159746,0.010902136210352182,0.0051565887912621965
21,0.012274271249771119,,0.013590137008577585,0.03237145507176008
22,0.0035984715602050223,0.006903825715805094,0.008380978246263805,0.005645016365794136
23,0.0077871007670182735,0.005068267734410862,0.005324333750953277,0.010127067790433233
24,0.0018944386065912063,0.001753234096603202,0.001741670467890799,0.0024308275971590063
25,0.016710462048649788,0.010138302575796843,0.009947778346637884,0.025730763665503927
26,0.014399882405996323,0.008533184749207326,0.007714645626644294,0.01717355184476165
27,0.006340356892906129,0.004773376871728235,0.011231856782817178,0.012291245800240533
28,0.008229620638303459,0.013800160959362984,0.014233424386475235,0.01762950064047523
29,0.005381951240174796,0.004106529010459781,0.0057038521394133564,0.007359496846964414
30,0.00980979179103787,0.006496896247633479,0.014327340254870554,0.011032644788631134
31,0.010203446698142216,0.007058347276012812,0.013703865916742122,0.0062509183306247
32,0.012187996258338293,0.006620535859838128,0.013668659209672893,0.022045325837098062
33,0.016545192222110927,0.019553559366613626,0.015687869489192964,0.030114177556242794
34,0.009528823519268861,0.006359993790586789,0.007568900024385324,0.012804368771612644
35,0.013875004090368747,0.006498849019408226,0.009571980219334364,0.027436374412739977
36,0.011692779643150665,0.005415843660011887,0.005494851665571333,0.009569096859827961
37,0.011584005085751414,0.006368372472934425,0.008131231440024244,0.014795365948230029
38,0.007909410441893019,0.012823589922239384,0.006470733684384161,0.008117264784548594
39,0.009707561053801328,0.01298588141798973,0.006828964687883854,0.009257165559877953
40,0.008085994820038859,0.006334427252618803,0.007384915906004608,0.00692183967223581
41,0.010937294519195954,0.00616107159294188,0.007911629043519497,0.016286995572348435
42,0.007624536294550184,0.006639856030233204,0.005525382717938295,0.009115928038954734
43,0.009986010517048486,0.01949302984091143,0.00709819273007187,0.010780075194568119
44,0.0073742407684524855,0.004550423182081431,0.00656014250125736,0.01461086289914833
45,0.019063080040117104,0.0220787829409043,0.014008736703544855,0.026189181488007307
46,0.008460508426651359,0.019915411714464426,0.008694614948970931,0.022414132187675153
47,0.0036002052038384136,0.005646643934596796,0.004826246241394144,0.004339901100018255
48,0.009304973829005445,0.007599133718758822,0.017891239530096453,0.014486409184571943
49,0.013276040243605772,0.007514471343408029,0.012678861198946834,0.012673932299213974
50,0.003194848521767805,0.00646576513018873,0.004422004800289869,0.005742303858925071
51,0.0061195698799565434,0.008495808346197009,0.0035459209595703417,0.009451358128959935
52,0.012105069969865408,0.0064896744055052595,0.007174315629526973,0.017143685254268348
53,0.014214070824285349,0.010877052011589209,0.011802924530846732,0.017123885364049955
54,0.01624869169401271,0.031806159764528275,0.019054675288498402,0.016738168060934793
55,0.00799954335929619,0.006688984017819167,0.007008803853144248,0.010074958704957148
56,0.010547965227697905,0.00500371353700757,0.010791617279340113,0.013841834165813291
57,0.013200689107179642,0.013812555931508541,0.018746921016524237,0.01615901172044687
58,0.006670253196110328,0.008421005273703486,0.011257364104191462,0.010152478308345262
59,0.010453830473124981,0.010183043777942656,0.013680782110895962,0.020300965814385563
60,0.005051141371950507,0.004802790703251958,0.005981326423352584,0.005090392599986108
61,0.006840653318379607,0.02677335031330585,0.008250532749419412,0.013766206265427173
62,0.0028098039887845517,0.002240828784684149,0.003344637365080416,0.004986164099258829
63,0.016895037196162675,0.005357794929295778,0.006709714166142724,0.013179349470073763
64,0.010087611415656283,0.005413244478404522,0.006681867564717929,0.011050888120995037
65,0.010972760093864053,0.00870513217523694,0.008241197940978136,0.01210536995645741
66,0.009997251487913587,0.006066699246210712,0.00894961174344644,0.010902769292112102
67,0.014375290321186184,0.007005625482027729,0.007193743251264095,0.009964104885092149
68,0.011255095154047013,0.012748439563438296,0.01657203941916426,0.023757192865014078
69,0.003909649525303394,0.005237652190650503,0.00470274392070926,0.004451206085424678
