indice,document_score,document_magnitude
2,-0.10000000149011612,5.900000095367432
3,0.10000000149011612,3.299999952316284
4,0.20000000298023224,1.600000023841858
5,0.0,3.0
6,0.0,2.299999952316284
7,0.0,2.5999999046325684
8,0.0,2.9000000953674316
9,0.0,1.399999976158142
10,0.0,14.899999618530273
11,0.0,1.899999976158142
12,0.0,4.400000095367432
13,0.0,2.5999999046325684
14,0.0,2.5
15,0.0,7.400000095367432
16,0.0,3.0999999046325684
18,0.0,3.299999952316284
19,0.0,4.699999809265137
20,0.10000000149011612,6.099999904632568
22,0.20000000298023224,3.0
23,0.0,9.899999618530273
25,-0.10000000149011612,1.600000023841858
26,0.0,1.5
27,0.0,10.199999809265137
28,-0.10000000149011612,6.800000190734863
29,0.0,19.799999237060547
30,0.0,4.599999904632568
31,0.10000000149011612,3.700000047683716
32,0.0,7.599999904632568
33,0.10000000149011612,3.700000047683716
34,0.0,2.200000047683716
35,-0.20000000298023224,8.399999618530273
36,0.10000000149011612,8.0
37,0.0,5.300000190734863
40,0.10000000149011612,19.899999618530273
41,0.0,1.7999999523162842
42,0.10000000149011612,2.5999999046325684
43,0.0,5.199999809265137
44,0.10000000149011612,6.0
45,0.10000000149011612,10.199999809265137
46,0.10000000149011612,17.399999618530273
47,0.0,8.899999618530273
48,0.0,3.5999999046325684
49,0.0,2.4000000953674316
50,0.0,2.5
51,0.0,38.20000076293945
52,0.0,10.0
53,0.0,4.0
54,0.0,3.700000047683716
55,0.0,1.7999999523162842
56,0.0,5.0
57,0.0,2.200000047683716
58,0.0,2.299999952316284
59,0.20000000298023224,3.5
60,0.0,12.399999618530273
61,0.0,1.399999976158142
62,0.0,6.800000190734863
63,0.0,9.399999618530273
64,0.0,22.899999618530273
65,0.10000000149011612,13.5
66,0.10000000149011612,3.0999999046325684
67,0.10000000149011612,4.800000190734863
68,0.10000000149011612,35.099998474121094
69,0.0,1.399999976158142
70,0.20000000298023224,9.100000381469727
71,0.0,2.299999952316284
72,0.10000000149011612,5.599999904632568
73,0.0,0.8999999761581421
74,0.0,5.900000095367432
75,0.0,13.100000381469727
76,0.0,8.600000381469727
77,0.0,6.099999904632568
78,0.0,13.399999618530273
79,0.0,5.300000190734863
80,0.0,4.300000190734863
81,0.10000000149011612,8.399999618530273
82,0.0,1.7999999523162842
83,0.0,4.800000190734863
84,0.10000000149011612,8.199999809265137
85,0.10000000149011612,4.400000095367432
86,0.0,13.5
87,0.10000000149011612,12.600000381469727
88,0.0,6.199999809265137
89,-0.10000000149011612,3.5
90,0.0,29.5
92,0.0,3.799999952316284
93,0.0,5.5
94,0.0,4.599999904632568
95,0.10000000149011612,5.599999904632568
96,0.0,7.5
97,0.20000000298023224,6.5
98,0.0,4.599999904632568
99,0.20000000298023224,2.0999999046325684
100,0.0,4.5
101,0.0,3.5
102,0.0,1.100000023841858
103,0.0,4.699999809265137
104,0.0,3.200000047683716
105,0.0,6.199999809265137
106,0.20000000298023224,5.099999904632568
107,0.0,2.5
108,0.10000000149011612,1.7000000476837158
109,0.10000000149011612,7.0
110,-0.10000000149011612,1.899999976158142
111,0.0,22.899999618530273
112,0.20000000298023224,2.5999999046325684
113,-0.10000000149011612,2.799999952316284
114,0.0,5.0
115,0.0,7.0
116,0.10000000149011612,4.900000095367432
117,0.10000000149011612,6.099999904632568
118,0.0,5.300000190734863
119,0.0,2.4000000953674316
120,0.0,5.900000095367432
121,0.10000000149011612,6.699999809265137
122,0.0,4.099999904632568
123,0.10000000149011612,3.5999999046325684
124,0.0,4.0
125,0.0,4.199999809265137
126,0.0,6.599999904632568
127,0.0,4.800000190734863
128,0.10000000149011612,17.0
129,0.0,7.199999809265137
130,0.0,2.9000000953674316
131,0.10000000149011612,6.5
132,0.0,3.799999952316284
133,0.0,4.300000190734863
134,0.0,11.300000190734863
135,0.10000000149011612,27.399999618530273
136,0.10000000149011612,6.900000095367432
137,0.0,15.199999809265137
138,0.10000000149011612,9.399999618530273
139,0.0,12.0
140,0.10000000149011612,5.800000190734863
141,0.0,4.599999904632568
142,0.0,8.600000381469727
143,0.0,9.600000381469727
144,0.0,3.799999952316284
145,0.0,9.199999809265137
146,0.30000001192092896,2.299999952316284
147,0.20000000298023224,12.0
148,0.0,2.4000000953674316
149,-0.10000000149011612,17.100000381469727
150,0.0,4.300000190734863
151,0.0,7.800000190734863
152,0.0,0.5
