indice,EVENT,LOCATION,ORGANIZATION,PERSON
2,0.017963600677571127,0.02555009094066918,0.02277650637552142,0.01677589921746403
3,0.007605961679170529,0.017897223494946955,0.020649393438361585,0.021248872499339856
5,0.011610573919659311,0.00928531021678022,0.010297030404520532,0.011812121659103367
6,0.009843110262105862,0.01006662480843564,0.01202931351816425,0.014084588716049557
7,0.006501559098251164,0.012705203689013919,0.009216640801990734,0.01255732451681979
8,0.006985319894738495,0.011357259345599093,0.013126873003784567,0.010766410281097418
9,0.01012717808286349,0.01440115055690209,0.010483702505007386,0.019372092727571726
10,0.0029322145386568963,0.005831615869990654,0.005897409321429829,0.004796827105908758
11,0.019041498191654682,0.017442526179365814,0.01368034619372338,0.01256721648142526
12,0.008871872709797961,0.02106853264073531,0.01142801713043203,0.016782727685164322
13,0.008457085030386224,0.00540614640340209,0.009914869019253687,0.01580664950787373
14,0.006626008721511988,,0.00972959895331699,0.010028685761305193
15,0.0067015588516369465,0.006447994862409199,0.0062038668464603165,0.007385070844344339
16,0.007029055251872965,0.006246037315577269,0.012887779111042618,0.015114743982187727
18,0.007312910191507803,0.005277264630421996,0.01082742619993431,0.008949555624793801
19,0.0052488623186945915,0.005016958573833108,0.013705282638381635,0.008434013108767215
20,0.0060591859862121735,0.0037043544463813303,0.007770614931359887,0.004508513929322362
22,0.015573822737981876,0.01392312217503786,0.018229368298004072,0.016247078031301498
23,0.0034169753870138754,0.0024522069143131375,0.005954239695136876,0.004438966601256929
25,0.04284639904896418,0.02210211769367258,0.016498794468740623,0.04318429320119321
26,0.011801852040331472,0.011130541206940132,0.01404348308486598,0.015164620376058988
27,0.002740242910416176,0.004329368433294197,0.0026153745562104242,0.003273343266401854
28,0.006740244221873581,0.005922969430685043,0.007795865851221606,0.008628464503479856
29,0.0022390922531485558,0.005995458428515121,0.003096045353837932,0.003808336853134361
30,0.006862735725007951,0.00447371185414101,0.0043649378543098765,0.006669762206729502
31,0.015841063655291993,0.011770347081538703,0.012127297337759625,0.012275741003187639
32,0.004023979478959171,0.00747106578718457,0.005551247556436935,0.004912964593985993
33,0.006462382632033791,0.007172436982562596,0.0067269479789372,0.010833639486615235
34,0.009929161751642823,0.00963867191846172,0.01239315737038851,0.01155910428668208
